genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,25,31,33,37,75,25.25,31.31,33.33,37.37,75.76
Pop,141,25,23,32,26,77,17.73,16.31,22.7,18.44,54.61
Lock,141,37,44,38,29,99,26.24,31.21,26.95,20.57,70.21
Middle Hip-hop,140,51,51,60,66,111,36.43,36.43,42.86,47.14,79.29
LA style Hip-hop,141,40,44,39,52,103,28.37,31.21,27.66,36.88,73.05
House,136,74,71,69,61,118,54.41,52.21,50.74,44.85,86.76
Waack,141,26,34,38,29,88,18.44,24.11,26.95,20.57,62.41
Krump,137,46,41,38,43,94,33.58,29.93,27.74,31.39,68.61
Street Jazz,129,29,28,25,22,69,22.48,21.71,19.38,17.05,53.49
Ballet Jazz,136,35,32,25,21,64,25.74,23.53,18.38,15.44,47.06
